iter	Passed	Remaining
1300	183239	239295
1301	183381	239157
1302	183537	239035
1303	183696	238917
1304	183832	238770
1305	183975	238632
1306	184115	238491
1307	184251	238343
1308	184394	238205
1309	184545	238078
1310	184683	237933
1311	184816	237782
1312	184969	237656
1313	185112	237519
1314	185275	237406
1315	185407	237253
1316	185567	237137
1317	185700	236986
1318	185832	236834
1319	185968	236687
1320	186144	236590
1321	186274	236436
1322	186463	236355
1323	186601	236211
1324	186730	236056
1325	186866	235908
1326	186992	235749
1327	187137	235612
1328	187318	235522
1329	187469	235394
1330	187609	235252
1331	187736	235093
1332	187936	235026
1333	188138	234961
1334	188286	234828
1335	188432	234694
1336	188565	234543
1337	188705	234400
1338	188855	234271
1339	189002	234137
1340	189127	233976
1341	189280	233850
1342	189439	233731
1343	189583	233593
1344	189726	233455
1345	189863	233309
1346	190004	233168
1347	190143	233024
1348	190282	232880
1349	190428	232746
1350	190561	232595
1351	190699	232449
1352	190849	232320
1353	190990	232179
1354	191134	232041
1355	191268	231891
1356	191403	231743
1357	191564	231626
1358	191693	231470
1359	191816	231307
1360	191947	231155
1361	192084	231009
1362	192228	230871
1363	192378	230741
1364	192547	230633
1365	192713	230522
1366	192859	230386
1367	192995	230240
1368	193120	230079
1369	193264	229941
1370	193411	229808
1371	193779	229936
1372	193988	229875
1373	194285	229918
1374	194535	229906
1375	194732	229829
1376	194877	229692
1377	195039	229574
1378	195221	229480
1379	195376	229354
1380	195512	229207
1381	195686	229103
1382	195882	229025
1383	196069	228937
1384	196236	228824
1385	196391	228697
1386	196564	228593
1387	196727	228476
1388	196872	228338
1389	197022	228205
1390	197169	228070
1391	197302	227918
1392	197433	227763
1393	197573	227620
1394	197705	227467
1395	197841	227319
1396	197969	227161
1397	198101	227008
1398	198230	226852
1399	198364	226702
1400	198501	226554
1401	198640	226410
1402	198780	226266
1403	198906	226107
1404	199043	225959
1405	199169	225800
1406	199302	225649
1407	199437	225499
1408	199566	225343
1409	199695	225188
1410	199831	225040
1411	199963	224888
1412	200097	224738
1413	200235	224592
1414	200362	224434
1415	200505	224294
1416	200636	224141
1417	200779	224000
1418	200913	223850
1419	201052	223705
1420	201201	223572
1421	201340	223427
1422	201493	223299
1423	201631	223154
1424	201770	223009
1425	201930	222887
1426	202064	222737
1427	202197	222587
1428	202338	222444
1429	202470	222292
1430	202628	222168
1431	202755	222011
1432	202883	221854
1433	203018	221706
1434	203159	221564
1435	203293	221413
1436	203431	221269
1437	203562	221116
1438	203712	220983
1439	203842	220829
1440	203978	220681
1441	204112	220532
1442	204236	220371
1443	204370	220222
1444	204497	220065
1445	204625	219909
1446	204759	219759
1447	204901	219617
1448	205039	219473
1449	205170	219320
1450	205287	219153
1451	205415	218996
1452	205554	218852
1453	205691	218706
1454	205853	218586
1455	205988	218438
1456	206124	218291
1457	206277	218161
1458	206408	218009
1459	206542	217859
1460	206687	217722
1461	206823	217574
1462	206947	217415
1463	207078	217263
1464	207208	217109
1465	207342	216960
1466	207485	216820
1467	207621	216672
1468	207754	216523
1469	207944	216431
1470	208105	216310
1471	208363	216290
1472	208611	216259
1473	208799	216165
1474	208958	216041
1475	209121	215922
1476	209304	215823
1477	209447	215682
1478	209585	215537
1479	209721	215389
1480	209864	215249
1481	210004	215105
1482	210122	214940
1483	210245	214779
1484	210368	214618
1485	210502	214468
1486	210635	214318
1487	210777	214176
1488	210916	214032
1489	211049	213882
1490	211182	213732
1491	211315	213581
1492	211447	213430
1493	211594	213293
1494	211720	213136
1495	211858	212991
1496	212006	212856
1497	212140	212707
1498	212279	212563
1499	212418	212418
1500	212553	212270
1501	212688	212122
1502	212823	211973
1503	212956	211823
1504	213098	211682
1505	213229	211530
1506	213369	211386
1507	213520	211254
1508	213659	211110
1509	213977	211143
1510	214141	211023
1511	214292	210891
1512	214441	210756
1513	214589	210620
1514	214785	210532
1515	214968	210431
1516	215143	210321
1517	215352	210245
1518	215519	210127
1519	215660	209984
1520	215823	209864
1521	216050	209804
1522	216242	209710
1523	216421	209604
1524	216593	209491
1525	216774	209387
1526	216923	209252
1527	217121	209163
1528	217318	209075
1529	217520	208990
1530	217723	208906
1531	217892	208789
1532	218075	208686
1533	218223	208550
1534	218384	208425
1535	218532	208288
1536	218674	208146
1537	218816	208003
1538	218948	207851
1539	219090	207708
1540	219233	207567
1541	219383	207432
1542	219533	207297
1543	219675	207155
1544	219817	207012
1545	219971	206881
1546	220207	206827
1547	220396	206728
1548	220551	206597
1549	220742	206500
1550	220900	206373
1551	221072	206258
1552	221244	206143
1553	221415	206027
1554	221589	205913
1555	221752	205791
1556	221935	205685
1557	222102	205566
1558	222297	205472
1559	222457	205345
1560	222626	205227
1561	222857	205165
1562	223028	205049
1563	223230	204961
1564	223423	204863
1565	223669	204816
1566	223866	204722
1567	224066	204632
1568	224267	204542
1569	224428	204415
1570	224571	204273
1571	224708	204124
1572	224841	203972
1573	224995	203839
1574	225123	203683
1575	225262	203536
1576	225409	203397
1577	225553	203255
1578	225694	203111
1579	225828	202959
1580	225978	202822
1581	226118	202677
1582	226266	202539
1583	226403	202390
1584	226539	202241
1585	226679	202096
1586	226838	201967
1587	227005	201846
1588	227178	201729
1589	227360	201621
1590	227557	201525
1591	227720	201401
1592	227865	201260
1593	228005	201114
1594	228154	200976
1595	228317	200851
1596	228480	200725
1597	228613	200573
1598	228791	200461
1599	228944	200326
1600	229090	200185
1601	229262	200067
1602	229410	199929
1603	229544	199778
1604	229684	199632
1605	229820	199482
1606	229985	199358
1607	230117	199205
1608	230255	199058
1609	230433	198945
1610	230569	198796
1611	230699	198642
1612	230829	198487
1613	230960	198333
1614	231088	198177
1615	231218	198023
1616	231355	197875
1617	231496	197730
1618	231633	197582
1619	231773	197436
1620	231897	197277
1621	232022	197119
1622	232158	196969
1623	232291	196818
1624	232435	196676
1625	232566	196522
1626	232700	196372
1627	232829	196217
1628	232959	196063
1629	233104	195922
1630	233252	195783
